brewery_name,address,categories,city,country,zip_code,state,Name,lat,long
Valley Winery & Brew Supply,1705 N Ranch Rd,"Brewer Equipment Supplies & Services, Wine & Distilled Beverages Retail",Palmer,US,99645,AK,Alaska,61.597671,-149.264909
Ward Cove Deli & Liquor,7196 N Tongass Hwy 8820,"Autos, Auto Repair & Service, Automotive Oil Change, Food & Dining, Beverages, Alcoholic Beverages, Breweries, Grocery Stores, Restaurants, Delicatessens, Pizza, Retail Shopping, Convenience Stores, Ketchikan,  AK, Shopping & Stores, Ketchikan Convenience Stores",Ketchikan,US,99901,AK,Alaska,55.410484,-131.72258
Adams Beverages,3116 John D Odom Rd,"Beer and Ale, Home, Beverages, ale,  AL, Breweries, Beer & Ale Distributors, Alabama, Wholesale Trade-non-durable Goods, Food & Dining, beer, Wholesale Foods, wholesale, (1), Dothan Beer and Other Fermented Malt Liquors, Wholesale Beer, Dothan, Beverages Retail, supply, Beer and other fermented malt liquors",Dothan,US,36303,AL,Alabama,31.275806,-85.449793
Adams Beverages Inc,508 Walker St,", Real Estate Financing, Beer and Ale, Beverages, Financing, Loans, ale,  AL, Opelika Beer and Ale, Breweries, (2), Mortgages & Mortgage Bankers, Food & Dining, beer, wholesale, (1), Opelika, Legal & Financial, supply",Opelika,US,36801,AL,Alabama,32.650487,-85.357366
Alabama Abc Board,110 Commerce St S,"Food & Dining, Beverages, Breweries, Retail Shopping, Convenience Stores",Hayneville,US,36040,AL,Alabama,32.1878,-86.6643
Alabama Crown Distributing Co.,4476 Shipyard Rd,"Retail Shopping, Importers, Beverages,  AL, Breweries, (2), Convenience Stores, Food & Dining, Business To Business, (1), Wholesale Beer, Mobile, Alcoholic Beverages, Wholesale Importers, Wine and Distilled Alcoholic Beverages, Mobile Wine and Distilled Beverages",Mobile,US,36619,AL,Alabama,30.598187,-88.14192
Alabrew,8916 Parkway E,"Food & Dining, Beverages, Wine, Alabama, Birmingham, Food And Kindred Products, Flour and other grain mill products, Corn grits and flakes,  for brewers' use, , Home",Birmingham,US,35206,AL,Alabama,,
B & B Discount Beverages,675 Highway 72,"Food Stores, Liquor Stores, Breweries",Cherokee,US,35616,AL,Alabama,34.716249,-87.694187
Back Forty Beer Co,200 N 6th St,"Food & Dining, Beverages, Breweries, Retail Shopping, Convenience Stores, Tourist Attractions, Gadsden,  AL, Malt Beverages, Gadsden Beer (Alcoholic Beverage), (1)",Gadsden,US,35901,AL,Alabama,34.0154,-86.00563
Bama Budweiser of Anniston,1609 Frank Akers Rd,"Beer & Beverages, Beer & Beverages-wholesale & Distributors, Food & Dining, Beverages, Breweries, Anniston,  AL, Beer and Ale, Anniston Beer and Ale, (1), , (2), Anniston Beer and Other Fermented Malt Liquors, (4), wholesale, supply, beer, ale",Anniston,US,36207-6764,AL,Alabama,33.621236,-85.803813
Bama Budweiser of Montgomery,1700 Emory Folmar Blvd,", Beer and Ale, Beverages, (4),  AL, (3), Breweries, Montgomery, Montgomery Beer and Ale, Montgomery Wine and Distilled Beverages, Food & Dining, beer, wholesale, (1), Wholesale Beer, supply, Wine and Distilled Alcoholic Beverages",Montgomery,US,36110,AL,Alabama,32.41979,-86.258357
Bama Budweiser-sylacauga,500 E Fort Williams St,"Food & Dining, Beverages, Breweries, Sylacauga,  AL, Beer and Ale, Sylacauga Beer and Other Fermented Malt Liquors, (4), , (1), wholesale, supply, beer, ale",Sylacauga,US,35150,AL,Alabama,33.167419,-86.240816
B-dry Waterproofing,600 S Court St,"Waterproofing Contractors, Home Improvement & Maintenance, Home Builders & Developers, Brewer Equipment Supplies & Services, Basement & Crawlspace Waterproofing",Montgomery,US,36104,AL,Alabama,32.369619,-86.308933
Beer Engineers,2147 Riverchase,Brewers,Birmingham,US,35244,AL,Alabama,33.364311,-86.784886
Below The Radar,220 Holmes Ave N E,"Brewers, Brewery",Huntsville,US,35801,AL,Alabama,34.733165,-86.585664
Below The Radar-corporate Ofc,226 Holmes Ave N E,Brewers,Huntsville,US,35801,AL,Alabama,34.733027,-86.585454
Birmingham Coca-cola Bottling,4600 E Lake Blvd,"Bottlers, Beverage Manufacturers, Vending Machine Manufacturers, Breweries, Glass Manufacturers, Wholesale Restaurant Supplies, Wholesale Vending Machines, Wholesale Beverage Dispensing Equipment",Birmingham,US,35217,AL,Alabama,33.560416,-86.767746
Black Warrior Brewing Company,2216 University Blvd,"Restaurant, Brewery",Tuscaloosa,US,35401,AL,Alabama,33.210773,-87.566376
Blue Pants Brewery,500 Lanier Rd,Brewery,Madison,US,35758,AL,Alabama,,
Blue Pants Brewery & Tap Room,500 Lanier Rd 1a,Brewers,Madison,US,35758,AL,Alabama,34.685896,-86.738213
Cahaba Brewing Co,2616 3rd Ave S,"Brewers, Deordorant, Soap, Glue, Air Fresheners",Birmingham,US,35233,AL,Alabama,33.514562,-86.793758
Chattahoochee Brewing Company,13TH Saint Phenix City Al 36867,Brewery,Phenix City,US,36867,AL,Alabama,,
County Line Beverages,90 Hammond Cir,"Food & Dining, Beverages, Breweries, Retail Shopping, Convenience Stores",Attalla,US,35954,AL,Alabama,,
Cravings Inc,3095 Hwy 278 W,"Malt Beverages, Breweries",Walnut Grove,US,35990,AL,Alabama,,
Crestwood Tavern,5500 Crestwood Blvd,"Breweries & Brew Pubs, Restaurants, Bar & Grill Restaurants, Birmingham Restaurants, Crestwood North, Burgers",Birmingham,US,35212-4131,AL,Alabama,33.528528,-86.748492
Don's,300 19th St E,"Food & Dining, Beverages, Breweries",Jasper,US,35501,AL,Alabama,33.8324,-87.2713
Double D,13136 Memorial Pkwy Sw,"Retail Shopping, Convenience Stores, Bars & Clubs, liquor & beverages, Food & Dining, beer, food and drink, Beverages, Restaurants, ale, Breweries, recreation, Lounges",Huntsville,US,35803,AL,Alabama,34.58848,-86.563384
"Druid City Brewing Co, Druid City Brewing Company",907 14th St,"brewery, Brewery and Bar, bar",Tuscaloosa,US,35401,AL,Alabama,33.19996653,-87.54502999
Feb Distributing Co Inc,2155 Intraplex Pkwy Gulfport,"Food & Dining, Beverages, Breweries",Chunchula,US,36521,AL,Alabama,,
Fix My Phone,319 N Mckenzie St,"Entertainment & Arts, Food & Dining, Beverages, Cell Phone Service, Breweries, Bar, Beer Pubs & Taverns, Repair Shops, Bars Pubs & Clubs",Foley,US,36535,AL,Alabama,30.409438,-87.68414
Gadsden Budweiser Distr Co,200 Jd Smith Dr,"Food & Dining, Beverages, Alcoholic Beverages, Breweries, Retail Shopping, Convenience Stores, recreation, food and drink, liquor & beverages, ale",Attalla,US,35954,AL,Alabama,33.999803,-86.114565
Goldwire Beverage Shop,613D Goldwire St S W,"Food & Dining, Beverages, Breweries, Health & Beauty, Beauty Salons",Birmingham,US,35211,AL,Alabama,,
Gulf Distributing Co,3378 Moffett Rd,"Food & Dining, Beverages, Breweries, Mobile,  AL, Professional Services, Management Services, Mobile Business Management, wholesale, supply, beer, ale, whole, wine",Mobile,US,36607,AL,Alabama,30.705692,-88.120242
Home Package Store,1031 Skyland Blvd E,"Food & Dining, Beverages, Alcoholic Beverages, Breweries, Wine, Retail Shopping, Convenience Stores",Tuscaloosa,US,35405,AL,Alabama,,
Hughes Beverage Co Inc,310 W 16th St,"Food & Dining, Beverages, Breweries, wholesale, supply, beer",Anniston,US,36201,AL,Alabama,33.664983,-85.835269
Jt's Package Store,2121 Beltline Rd S W,"Food & Dining, Beverages, Breweries, Wine, Retail Shopping, Convenience Stores",Decatur,US,35601,AL,Alabama,34.583094,-87.023539
Kegkits.com,12021 Memorial Pkwy Se,"Winemaking Equipment & Supplies, Brewer Equipment Supplies & Services, E-Commerce",Huntsville,US,35803,AL,Alabama,34.611066,-86.56612
Kimer's Food Mart 3,421 N Broad St,"Food & Dining, Beverages, Breweries",Albertville,US,35950,AL,Alabama,34.273,-86.2063
Kwik Beverage,2203 E Willow St,"Retail Shopping, Home, Beverages, Scottsboro, ale, Miscellaneous Retail, Breweries, Beer (packaged), recreation, Convenience Stores, liquor & beverages, Food & Dining, beer, food and drink, Liquor stores, Liquor Stores",Scottsboro,US,35768,AL,Alabama,34.681436,-86.007746
Lakeside Beverage & Spirits,21701 Us Highway 431,"Retail Shopping, Beverages,  AL, Guntersville Liquor Stores, Breweries, Shopping & Stores, Convenience Stores, Beer & Wine Stores, Food & Dining, Guntersville, Alcoholic Beverages, Liquor Stores",Guntersville,US,35976,AL,Alabama,34.421414,-86.264111
Lances Pub,3738 Opelika Rd,"Entertainment & Arts, Bars, Food & Dining, Beverages, Brew Pubs, Beer & Ale, Breweries, Taverns, Bars Pubs & Clubs",Phenix City,US,36870,AL,Alabama,32.493893,-85.04849
Midtown Pub,153 S Florida St,"Bars, Brew Pubs, Bars & Pubs, Gay Bar, Beer & Ale, Breweries, Taverns",Mobile,US,36606,AL,Alabama,30.682281,-88.10069
Miller Brands Inc,1511 1st Ave,"Beer & Ale-Wholesale & Manufacturers, Food & Dining, beer, Beverages, Water Companies-Bottled Bulk, Etc, wholesale, ale, Beverages-Distributors & Bottlers, supply, Breweries",Opelika,US,36801,AL,Alabama,32.641403,-85.39022
Mountain Top Beverage,45087 Us Highway 231,"Food & Dining, Beverages, Breweries, Home, Oneonta, Miscellaneous Retail, Liquor stores, Beer (packaged), Shopping & Stores, Beer Stores",Oneonta,US,35121,AL,Alabama,33.9399,-86.4568
Murphy Plaza,200 Main St,"Food & Dining, Beverages, Breweries, Wineries",Madison,US,35758,AL,Alabama,,
Northside Beverage Llc,1754 N Friendee Pkwy,"Breweries, Wholesale Foods",Arab,US,35016,AL,Alabama,34.318151,-86.495823
Olde Towne Brewing Co,228 Holmes Ave N E,"Entertainment & Arts, Bars Pubs & Clubs, Food & Dining, Beverages, Breweries",Huntsville,US,35801,AL,Alabama,,
Party Tyme Liquor & Wine,1087 S Memorial Dr,"Check Cashing Services, Nightclubs, Convenience Stores, Liquor Stores, Beverage Manufacturers, Breweries, Wholesale Beer",Prattville,US,36067,AL,Alabama,32.452847,-86.443911
Plaza Murphy,101 Church St,"Food & Dining, Beverages, Breweries, Wineries",Madison,US,35758,AL,Alabama,,
Pockets Lounge Grill-billiards,2086 Montgomery Hwy,"Cocktail Lounges, Billiards Bars, Eating places, Beverages, Home, Restaurants, Dothan Restaurants, Breweries, Food bars, Billiards & Pool Halls, Alabama, Bars & Grills, Entertainment & Arts, Night Clubs Nightclubs Bars & Lounges, Bars, Food & Dining, Dothan, Eating And Drinking Places, Bar & Grills, Amusement Parks, Bars Pubs & Clubs",Dothan,US,36303,AL,Alabama,31.240798,-85.41271
Railyard Brewing Co Llc,12 W Jefferson St,"Brewery and American Restaurant, Pubs, Breweries",Montgomery,US,36104,AL,Alabama,32.381051,-86.309391
Rocket Republic Brewing Company,289 Production Ave,Brewery and Beer Garden,Madison,US,35758,AL,Alabama,,
Salty Nut Brewery,2406 Clinton Ave W,Brewery,Huntsville,US,35805,AL,Alabama,34.72250032,-86.60355774
"Salty Nut Brewery, Llc",4411 N W Evangel Cir A,Brewers,Huntsville,US,35816,AL,Alabama,34.736722,-86.639625
Shoal's Distributing Inc,100 Commerce St,"Food & Dining, Beverages, Breweries, wholesale, supply, beer, ale",Muscle Shoals,US,35661,AL,Alabama,34.726191,-87.660332
Spring Hill Spirits,279 Mcgregor Ave S,"Retail Shopping, Hobbies, Beverages,  AL, Breweries, Wine Stores, Cigarettes & Tobacco, Shopping & Stores, Convenience Stores, Food & Dining, Recreation, Mobile, Smoking & Tobacco, Alcoholic Beverages, Liquor Stores, Mobile Liquor Stores, Wine",Mobile,US,36608,AL,Alabama,30.683978,-88.148422
Srs So Montgomery Al,1580 Parallel St," alcoholic beverages, manufacturing, Beer and Ale, Home, Beverages, Other Social Services, ale, Miscellaneous Retail,  AL, Breweries, Medical Schools, Manufacturing, Montgomery, Wine and beer, Alabama, Adult and Continuing Education, Food & Dining, beer, Liquor stores, wholesale, Montgomery Wholesale Beer and Ale, supply, Alcoholic Beverages",Montgomery,US,36104,AL,Alabama,32.405724,-86.320142
Straight To Ale,3200 Leeman Ferry Rd S W,Brewery,Huntsville,US,35801,AL,Alabama,34.701674,-86.591853
Supreme Beverage Co,106 Avalon Ave,"Food & Dining, Beverages, Breweries, Beverage & Drinks, Muscle Shoals,  AL, Beer and Ale, Muscle Shoals Beer and Other Fermented Malt Liquors, (1)",Muscle Shoals,US,35661,AL,Alabama,34.744863,-87.677206
Supreme Beverage Co Inc,2100 Jackson Ave N W,"Food & Dining, Beverages, Breweries",Huntsville,US,35805,AL,Alabama,34.727457,-86.597983
Sushi Boy Girl,675 Opelika Rd,"Sushi Bars, Asian Restaurants, Beverages, Pub Restaurants, Restaurants,  AL, Restaurants & Bars, Breweries, Beer Pubs & Taverns, Entertainment & Arts, Food & Dining, Auburn, Food and Dining, Auburn Restaurants, Bars Pubs & Clubs",Auburn,US,36830,AL,Alabama,32.615738,-85.466576
Ted The Wine Guy and Company,3062 Zelda Rd,"Wholesale Foods, Breweries, Beer & Ale Distributors, Beer & Ale Retail, Wine Consultants",Montgomery,US,36106,AL,Alabama,32.355077,-86.264814
The Corner Store,1400 W Paul Bryant Dr,"Food & Dining, Beverages, Breweries",Tuscaloosa,US,35401,AL,Alabama,33.206737,-87.555099
Trim Tab Brewing,2721 5th Ave S,"Breweries, Food & Drink",Birmingham,US,35233,AL,Alabama,33.512867,-86.7915
Vizzini Farms Winery,800 Hwy 87,"Wineries, Brewers",Calera,US,35040,AL,Alabama,33.175855,-86.775418
Watetu Beverage,161 Citation Ct,"Food & Dining, Beverages, Breweries, Birmingham,  AL, Beer and Ale, Birmingham Beer and Ale, (4), (2), (1)",Birmingham,US,35209,AL,Alabama,,
Webbpak Inc,110 Railroad Ave,"Sugar Manufacturers, Food Processor Manufacturers, Beverage Manufacturers, Flavoring Extract Manufacturers, Prepared Food Manufacturers, Breweries, Other Wholesale Commercial Equipment, Wholesale Food Product Manufacturing Equipment",Trussville,US,35173,AL,Alabama,33.619071,-86.605587
White Oak Vineyards,1484 Dry Hollow Rd,"Vineyards, Food & Dining, vineyard, Beverages, wholesale, grape, Breweries, Wineries, farming, Wine",Anniston,US,"36207, 36207-1155",AL,Alabama,33.667219,-85.671189
Windmill Beverages,3709 Us Highway 31 S,"Food & Dining, Beverages, Breweries",Decatur,US,35603,AL,Alabama,34.536044,-86.974162
64 E Liquor,2257 Highway 64,"Beer & Wine Stores, Liquor Stores, Food & Dining, Beverages, Breweries, Morrilton,  AR, Shopping & Stores, Morrilton Liquor Stores",Morrilton,US,72110,AR,Arkansas,35.15428389,-92.69471638
Apple Blossom Brewing Company,1550 Zion Rd,"Brewery, Bar",Fayetteville,US,,AR,Arkansas,36.12955292,-94.13756496
Arrow Brewing Co,1161 W Henri De Tonti Blvd,Brewers,Tontitown,US,72770,AR,Arkansas,36.176851,-94.255521
Belle Point Beverages Inc,1 Bellepoint Pl,"Food & Dining, Beverages, Breweries, Fort Smith,  AR, Beer and Ale, Fort Smith Beer and Other Fermented Malt Liquors, (4), , (1)",Fort Smith,US,72901-1953,AR,Arkansas,35.391,-94.4293
Bentonville Brewing Co,1000 S E 5th St,"Professional Services, wholesale, Brewers, supply, Shipping",Bentonville,US,72712,AR,Arkansas,36.367101,-94.198234
"Bj's Restaurants, Bj's Restaurant and Brewhouse",2624 S Shackleford Rd,"Take Out Restaurants, American Restaurant, American Restaurants, Brew Pubs, Restaurants, Sports Bars, Beer & Ale, Brewery, Family Style Restaurants, Pizza",Little Rock,US,72205,AR,Arkansas,34.73051,-92.39494
"Blue Canoe Brewing Co, Blue Canoe Brewing Company",425 E 3rd St,"Bars, Brew Pubs, Restaurants, Brewery, Beer & Ale, Taverns",Little Rock,US,72201,AR,Arkansas,34.74561,-92.26681
Brews,2 Pine,"Breweries, Food & Drink",Eureka Springs,US,72632,AR,Arkansas,36.397335,-93.74686
Brickstreet Brews Llc,208 W Walnut St,Brewers,Rogers,US,72756,AR,Arkansas,36.33316,-94.118171
Burford Distributing Inc,925 S H St,"Other, Food & Dining, Beverages, Breweries, Fort Smith,  AR, Advertising & Marketing, Advertising,  NEC, Fort Smith Distribution Services",Fort Smith,US,72901,AR,Arkansas,35.375657,-94.424332
Camden Wholesale Inc,416 E Washington Ave,"Food & Dining, Beverages, Breweries, Arkansas, Camden, Wholesale Trade-non-durable Goods, Beer and ale, Beer and other fermented malt liquors, , Home",Camden,US,71701,AR,Arkansas,33.5875,-92.825
Coco Distributing Co Inc,1219 Martin Luther King Jr Dr,"Food & Dining, Beverages, Breweries, Helena,  AR, Beer and Ale, Beer and Other Fermented Malt Liquors, wholesale, supply, beer, ale",Helena,US,72342,AR,Arkansas,34.502489,-90.606488
Columbus House Brewery and Tap Room,701 W North St,"Breweries, Food & Drink",Fayetteville,US,72701,AR,Arkansas,36.07718,-94.16886
Coors Distributor,700 E Broad St,"Food & Dining, Beverages, Breweries, Drinking Water",Texarkana,US,71854,AR,Arkansas,33.424409,-94.03621
Core Brewing,3775 N Mall Ave,"Distillers, Brewers, Breweries, Alcoholic Beverages Wholesale & Manufacturers",Fayetteville,US,72703,AR,Arkansas,36.120104,-94.150261
Core Brewing & Distilling Co,2470 N Lowell Rd,"Breweries, Wineries, Alcoholic Beverages Wholesale & Manufacturers",Springdale,US,72764,AR,Arkansas,36.206562,-94.133636
Core Brewing Co.,2470 Lowell Rd,"Breweries, Food & Drink",Springdale,US,72764,AR,Arkansas,36.206394,-94.13458
Core Public House - Pub,701 Rogers Ave,"Breweries, Bars & Clubs, Nightlife, Food & Drink",Fort Smith,US,72901,AR,Arkansas,35.38537,-94.42486
Country Liquor Store,16973 Highway 1,"Food & Dining, Beverages, Breweries, Retail Shopping, Convenience Stores, Harrisburg,  AR, Shopping & Stores, Liquor Stores",Harrisburg,US,72432-8748,AR,Arkansas,35.6951,-90.6977
Damgoode Pies,500 President Clinton Ave,"Brewery, Pizza Place, Pizza Place and Brewery",Little Rock,US,72201,AR,Arkansas,34.74773569,-92.26548916
"Diamond Bear Brewing Co, Diamond Bear Brewing Company",323 S Cross St,breweries,Little Rock,US,72201,AR,Arkansas,34.74721,-92.2836
Ed Roleson Jr Inc,400 W Baldwin St,"Food & Dining, Beverages, Breweries, Paragould, Wholesale Trade-non-durable Goods, Beer and ale, Beer and other fermented malt liquors, wholesale, supply, beer, ale, , Home",Paragould,US,72450,AR,Arkansas,36.045477,-90.493039
El Paraiso Restaurant & Beer,5751 State Highway 165 Branson,"Food & Dining, Beverages, Breweries",Mountain Home,US,72653,AR,Arkansas,36.3326,-92.3609
Fasweet Co,215 N Culberhouse St,"Beverage Manufacturers, Chemical Manufacturers, Sugar Manufacturers, Other Chemical Manufacturers, Marketing Consultants, Breweries, Prepared Food Manufacturers, Flavoring Extract Manufacturers",Jonesboro,US,72401,AR,Arkansas,35.845527,-90.712828
Flyway Brewing Company,314 Maple St,Brewery,N Little Rock,US,72114,AR,Arkansas,,
Fortune C R Beer Co,205 Plum St,"Food & Dining, Beverages, Breweries",Newport,US,72112,AR,Arkansas,35.6075,-91.2784
Fortune C R Beer Inc, Hwy 201 Spur,"Food & Dining, Beverages, Breweries",Norfork,US,72658,AR,Arkansas,36.3335,-92.3617
Fossil Cove Brewery,1946 N Birch Ave,Brewery,Fayetteville,US,72703,AR,Arkansas,,
Foster's Pint & Plate,72758 2001 S Bellview Rd,American Restaurant and Brewery,Rogers,US,72758,AR,Arkansas,36.31220247,-94.17217175
Golden Eagle Of Arkansas Inc,1900 E 15th St,"Food & Dining, Beverages, Breweries, wholesale, supply, beer, ale",Little Rock,US,72202,AR,Arkansas,34.732335,-92.249747
Grumpy's,1801 Green Mountain Dr,Bar and Brewery,Little Rock,US,72212,AR,Arkansas,,
Home Brewery,455 E Township St,", shop, Homebrewing, Home, Hobbies, Beverages, Fayetteville, Beer-home Brewing Equipment & Supplies, equipment, Wholesale Trade-non-durable Goods, Food & Dining, Beer & Beverages, beer, Recreation, Winemaking Equipment & Supplies, Brewer Equipment Supplies & Services, supply, Beer and ale, Beer and other fermented malt liquors, retail, Wine",Fayetteville,US,"72703, 72703-3444",AR,Arkansas,36.094958,-94.15192
Hooper Sales Co,316 N 5th St,"Wholesale Beer, Food & Dining, Beverages, Breweries, Liquor Stores, West Memphis, Wholesale Trade-non-durable Goods, Beer and ale, Beer and other fermented malt liquors, wholesale, supply, beer, ale, , Home",W Memphis,US,72301,AR,Arkansas,35.148429,-90.17782
James E Owen,510 J O Farms Rd,"Food & Dining, Beverages, Breweries",Star City,US,71667,AR,Arkansas,33.9342,-91.8356
Lost Forty Brewing,501 Byrd St,"Brewery, Brewery East of I-30",Little Rock,US,72202,AR,Arkansas,34.742212,-92.25975037
Ludwig Distributing Co,503 E 13th St,"Food & Dining, Beverages, Breweries, Drinking Water",Stuttgart,US,72160,AR,Arkansas,34.491237,-91.547806
Mc Bride Distributing Co,2849 S School Ave,"Other, Food & Dining, Beverages, Breweries, Fayetteville,  AR, Beer and Ale, Fayetteville Beer and Other Fermented Malt Liquors, (2), , (1), (4), wholesale, supply, beer, ale",Fayetteville,US,72701,AR,Arkansas,36.031643,-94.171384
Mom's Place Tavern,1408 S Thompson St,"Breweries & Brew Pubs, Entertainment & Arts, Bars Pubs & Clubs, recreation, food and drink, drinking",Springdale,US,72764-6318,AR,Arkansas,36.172574,-94.139134
Mr G's Trucking Inc,7300 Illinois St,"Little Rock, AR, Beverages, Malt Beverages, Little Rock Brewers' Grain, (1), Little Rock,  AR",Little Rock,US,72207-6036,AR,Arkansas,,
New Province Brewing Company,1310 W Hudson Rd,"Breweries, Food & Drink",Rogers,US,72756,AR,Arkansas,36.35531,-94.13457
Oasis Tavern,3215 Midland Blvd,"Cocktail Lounges, Fort Smith, Breweries & Brew Pubs, Restaurants & Bars, Venues, recreation, Cocktail Lounge Restaurants, Taverns, Bars / Taverns, food and drink, Restaurant, Beer Taverns & Pubs, Bar, Fort Smith Bars,  AR, Bar & Grill Restaurants",Fort Smith,US,72904,AR,Arkansas,35.410633,-94.392426
Premium Brands of Nw Arkansas,1032 S Razorback Rd,"Food & Dining, Beverages, Breweries, Fayetteville,  AR, Beer and Ale, Fayetteville Beer and Other Fermented Malt Liquors, (2), , (1), (4)",Fayetteville,US,72701-6355,AR,Arkansas,36.049874,-94.180851
Puritan Brew Co,205 W Dickson St,Brewers,Fayetteville,US,72701,AR,Arkansas,36.065995,-94.162035
Rafferty's Liquor,13200 I 30,"Liquor Store, Brewery",Little Rock,US,72209,AR,Arkansas,,
Rebel Kettle Brewing Co.,822 E 6th St,"Brewery, Brewery East of I-30",Little Rock,US,72202,AR,Arkansas,,
Red Gate Liquor Store,13325 Interstate 30,"Retail Shopping, Little Rock Liquor Stores, Beverages, Breweries, Wine & Distilled Beverages Retail, Little Rock, Shopping & Stores, Convenience Stores, Beer & Wine Stores, Food & Dining, Beverages Retail, Liquor Stores,  AR, Beer & Ale Retail, Wine",Little Rock,US,72209,AR,Arkansas,34.641121,-92.442386
Stone's Throw Brewing,402 E 9th St,"Coffee Brewing Devices, Food & Drink, Breweries, Brewery, Beer Garden, Brewery and Beer Garden Downtown Little Rock",Little Rock,US,72202,AR,Arkansas,34.73988,-92.26803
Storm Brewery,321 E Emma Ave,Brewers,Springdale,US,72764,AR,Arkansas,36.184911,-94.127717
Superior Bathhouse Brewery and Distillery,329 Central Ave,"Breweries, Distilleries, Food & Drink",Hot Springs,US,71901,AR,Arkansas,34.515247,-93.05359
